Age,Gender,Income level,How often do you use a mobile app for purchasing supermarket goods?,How often do you physically visit a supermarket for shopping?,What factors influence your decision to use a mobile app versus visiting a store?,How would you rate your overall experience using a mobile app for supermarket shopping?,How would you rate your overall experience physically visiting a supermarket?, What features do you find most convenient in the mobile app?,What do you enjoy about the in-store shopping experience?,Do you find that the mobile app offers a comparable range of products compared to the physical store?,Are there specific items you prefer to purchase in-store rather than through the app?,Can you identify a specific product you are more likely to purchase through the mobile app rather than visiting a physical store?,"Are you more price-sensitive when shopping through a mobile app, or do you tend to consider prices more when physically visiting a store?",Have you ever discovered and tried a new product through the mobile app's recommendations?
35,Male,Medium,Daily,Rarely,"Time,Variety",5,2,Quick Checkout,Interaction with Staff,Yes,In-store for fresh produce,Clothing,App,Moderate
45,Female,High,Monthly,Weekly,"Price,Quality",3,4,Search Function,Store Layout,Yes,In-store for personal care,Groceries,Store,No
30,Male,High,Weekly,Monthly,"Convenience,Brand Loyalty",4,3,Barcode Scanner,Atmosphere,No,Groceries,Bakery items,Depends,Moderate
22,Female,Low,Monthly,Rarely,Impulse Purchases,3,2,Flash sales and limited-time offers,In-store events and entertainment,Yes,Yes,Frozen foods and snacks,Price-conscious,Yes
45,Female,Medium,Weekly,Monthly,Quality and Freshness,5,5,Real-time stock updates and delivery tracking,Relaxing shopping experience,Yes,Yes,Organic and local produce,Quality matters more,Yes
32,Male,High,Daily,Weekly,Convenience and Variety,4,4,Wide range of payment options and order customization,Meeting other shoppers and socializing,Yes,No,Electronics and gadgets,Both important,Yes
55,Female,Medium,Monthly,Monthly,"Quality,Brand Loyalty",4,4,Favorites List,Fresh Food Section,Yes,Fresh produce,Personal Care Items,Always,No
31,Female,Low,Monthly,Rarely,Health and Safety Measures,4,3,Contactless payment and safety features,Enjoying the grocery store environment,Yes,No,Organic and health foods,Quality matters more,Yes
33,Female,Low,Monthly,Rarely,Eco-friendly Options,3,2,Sustainable packaging and green initiatives,Enjoying the sensory experience of shopping,Yes,Yes,Organic and eco-friendly products,Quality matters more,Yes
23,Male,High,Daily,Weekly,Impulse Buys and New Trends,4,4,Recommended bundles and trending products,Exploring new and unique products,Yes,Yes,Snacks and beverages,Price-conscious,Yes
37,Female,Low,Monthly,Rarely,Brand Loyalty,3,2,Exclusive brand deals and loyalty rewards,Enjoying the sensory experience of shopping,Yes,Yes,Organic and local produce,Quality matters more,Yes
